0.01 	 1e-07 	 2.11364138672 	 0.00124452951482 	 0.000533801627513 	 0.97545481035 	 0.0 	 0.57 	 0.6 	 0.0 	 0.0 	 1.96555234167e-14 	 8345.41793043
0.01 	 6e-08 	 2.11364138672 	 0.000458583805153 	 0.000199458518295 	 0.97545481035 	 0.0 	 0.57 	 0.6 	 0.0 	 0.0 	 7.07598843002e-15 	 1111.87998483
0.01 	 1e-08 	 2.11364138672 	 1.29018181647e-05 	 5.65467121931e-06 	 0.97545481035 	 0.0 	 0.625 	 0.55 	 0.0 	 0.0 	 1.96555234167e-16 	 0.905628934345
0.01 	 2e-08 	 2.11364138672 	 5.15509129013e-05 	 2.25791593108e-05 	 0.97545481035 	 0.0 	 0.645 	 0.545 	 0.0 	 0.0 	 7.86220936669e-16 	 14.7692505833
0.01 	 1.5e-08 	 2.11364138672 	 2.90158771231e-05 	 1.27137414557e-05 	 0.97545481035 	 0.0 	 0.605 	 0.49 	 0.0 	 0.0 	 4.42249276876e-16 	 4.33737200281
0.01 	 1.4e-08 	 2.11364138672 	 2.52787229384e-05 	 1.10769540945e-05 	 0.97545481035 	 0.0 	 0.65 	 0.585 	 0.0 	 0.0 	 3.85248258968e-16 	 3.63962592065
0.01 	 1.3e-08 	 2.11364138672 	 2.17985935146e-05 	 9.55255073617e-06 	 0.97545481035 	 0.0 	 0.555 	 0.57 	 0.0 	 0.0 	 3.32178345743e-16 	 2.4029676637
0.02 	 1.3e-08 	 2.17210899698 	 7.75335697805e-05 	 4.00856257568e-05 	 0.983164109035 	 0.0 	 0.585 	 0.54 	 0.0 	 0.0 	 3.26678582971e-16 	 9.34878078026
0.02 	 1e-08 	 2.17210899698 	 4.59163948719e-05 	 2.37514150666e-05 	 0.983164109035 	 0.0 	 0.65 	 0.535 	 0.0 	 0.0 	 1.93300936669e-16 	 3.51316328971
0.02 	 9.5e-09 	 2.17210899698 	 4.14444641304e-05 	 2.14397503053e-05 	 0.983164109035 	 0.0 	 0.645 	 0.56 	 0.0 	 0.0 	 1.74454095344e-16 	 2.88639199978
0.02 	 9.4e-09 	 2.17210899698 	 4.05774746752e-05 	 2.09915406151e-05 	 0.983164109035 	 0.0 	 0.56 	 0.55 	 0.0 	 0.0 	 1.70800707641e-16 	 2.49991557082
0.05 	 9.4e-09 	 2.2263617509 	 9.62194821405e-05 	 4.44709230185e-05 	 0.985325422616 	 0.0 	 0.63 	 0.595 	 0.0 	 0.0 	 1.50672226755e-16 	 5.75637962337
0.05 	 9e-09 	 2.2263617509 	 8.82315168399e-05 	 4.07860627048e-05 	 0.985325422616 	 0.0 	 0.62 	 0.53 	 0.0 	 0.0 	 1.38121891887e-16 	 4.62495137003
0.05 	 8e-09 	 2.2263617509 	 6.97625370539e-05 	 3.22614111572e-05 	 0.985325422616 	 0.0 	 0.55 	 0.555 	 0.0 	 0.0 	 1.09133346676e-16 	 2.69447630726
0.05 	 7.9e-09 	 2.2263617509 	 6.80338218289e-05 	 3.14631463606e-05 	 0.985325422616 	 0.0 	 0.6 	 0.58 	 0.0 	 0.0 	 1.06422065095e-16 	 2.7580117607
0.05 	 7.8e-09 	 2.2263617509 	 6.63266293864e-05 	 3.0674761522e-05 	 0.985325422616 	 0.0 	 0.565 	 0.51 	 0.0 	 0.0 	 1.03744887684e-16 	 2.41779428115
0.1 	 7e-09 	 2.29174255068 	 5.47397707659e-05 	 2.55219699921e-05 	 0.985634278484 	 0.0 	 0.575 	 0.49 	 0.0 	 0.0 	 4.3690074196e-17 	 0.868082144054
0.1 	 7.5e-09 	 2.29174255068 	 6.28058550337e-05 	 2.92756569821e-05 	 0.985634278484 	 0.0 	 0.505 	 0.41 	 0.0 	 0.0 	 5.01544219087e-17 	 0.99060557644
0.1 	 7.9e-09 	 2.29174255068 	 6.9652547588e-05 	 3.24604568593e-05 	 0.985634278484 	 0.0 	 0.5 	 0.55 	 0.0 	 0.0 	 5.5646888379e-17 	 1.3243243328
0.1 	 8.4e-09 	 2.29174255068 	 7.87016314901e-05 	 3.666771412e-05 	 0.985634278484 	 0.0 	 0.54 	 0.46 	 0.0 	 0.0 	 6.29137068422e-17 	 1.68731007969
0.1 	 8.9e-09 	 2.29174255068 	 8.82941172358e-05 	 4.11251271826e-05 	 0.985634278484 	 0.0 	 0.54 	 0.45 	 0.0 	 0.0 	 7.06263423891e-17 	 2.1117318409
0.1 	 9.1e-09 	 2.29174255068 	 9.22828014533e-05 	 4.29778243646e-05 	 0.985634278484 	 0.0 	 0.525 	 0.565 	 0.0 	 0.0 	 7.38362253912e-17 	 2.42605319712
0.1 	 9e-09 	 2.29174255068 	 9.02776413816e-05 	 4.2046506386e-05 	 0.985634278484 	 0.0 	 0.59 	 0.48 	 0.0 	 0.0 	 7.22223675485e-17 	 2.39636114858
0.2 	 9e-09 	 0.110686333333 	 0.000174175875367 	 9.11846693232e-05 	 0.755133764818 	 0.0 	 0.535 	 0.49 	 0.0 	 0.0 	 1.01235644711e-16 	 0.233310371595
0.2 	 2e-08 	 0.110686333333 	 0.000828029982527 	 0.000427397578627 	 0.755133764818 	 0.0 	 0.52 	 0.49 	 0.0 	 0.0 	 4.99929109686e-16 	 5.34855615791
0.2 	 1e-08 	 0.110686333333 	 0.000214535326702 	 0.000112211258737 	 0.755133764818 	 0.0 	 0.465 	 0.51 	 0.0 	 0.0 	 1.24982277422e-16 	 0.327988860898
